library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collect_device,samp_mat_process,source_material_id,sample_name,sample_accession,study_accession
P12051_1001,16S rRNA Synchaeta_baltica 2017-06-19 Surface By31,Synchaeta_baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_a_134,ENA:ERR4314572,ENA:PRJEB39191
P12051_1002,16S rRNA Synchaeta_baltica 2017-06-19 Surface By31,Synchaeta_baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_a_135,ENA:ERR4314573,ENA:PRJEB39191
P12051_1003,16S rRNA Synchaeta_baltica 2017-06-19 Surface By31,Synchaeta_baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_a_136,ENA:ERR4314574,ENA:PRJEB39191
P12051_1004,16S rRNA Synchaeta_baltica 2017-06-19 Surface By31,Synchaeta_baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_a_137,ENA:ERR4314575,ENA:PRJEB39191
P12051_1005,16S rRNA Synchaeta_baltica 2017-06-19 Surface By31,Synchaeta_baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_a_138,ENA:ERR4314576,ENA:PRJEB39191
P12051_1006,16S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314577,ENA:PRJEB39191
P12051_1007,16S rRNA Eurytemora 2018-07-31 NA By31,Eurytemora,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314578,ENA:PRJEB39191
P12051_1008,16S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314579,ENA:PRJEB39191
P12051_1009,16S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314580,ENA:PRJEB39191
P12051_1010,16S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314581,ENA:PRJEB39191
P12051_1011,16S rRNA Eurytemora 2018-07-31 NA By31,Eurytemora,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314582,ENA:PRJEB39191
P12051_1012,16S rRNA Eurytemora 2018-07-31 NA By31,Eurytemora,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314583,ENA:PRJEB39191
P12051_1013,16S rRNA Eurytemora 2018-07-31 NA By31,Eurytemora,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314584,ENA:PRJEB39191
P12051_1014,16S rRNA Eurytemora 2018-07-31 NA By31,Eurytemora,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314585,ENA:PRJEB39191
P12051_1015,16S rRNA Temora 2018-07-31 NA By31,Temora,2018-07-31T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314586,ENA:PRJEB39191
P12051_1016,16S rRNA Temora 2018-07-31 NA By31,Temora,2018-07-31T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314587,ENA:PRJEB39191
P12051_1017,16S rRNA Bosmina 2018-07-31 NA By31,Bosmina,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314588,ENA:PRJEB39191
P12051_1023,16S rRNA Bosmina 2018-07-31 NA By31,Bosmina,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314594,ENA:PRJEB39191
P12051_1024,16S rRNA Temora 2018-07-31 NA By31,Temora,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314595,ENA:PRJEB39191
P12051_1025,16S rRNA Temora 2018-07-31 NA By31,Temora,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314596,ENA:PRJEB39191
P12051_1026,16S rRNA Temora 2018-07-31 NA By31,Temora,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314597,ENA:PRJEB39191
P12051_1027,16S rRNA Pseudocalanus 2018-07-31 NA By31,Pseudocalanus,2018-07-31T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-179,NA,ENA:ERR4314598,ENA:PRJEB39191
P12051_1028,16S rRNA Pseudocalanus 2018-07-31 NA By31,Pseudocalanus,2018-07-31T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-179,NA,ENA:ERR4314599,ENA:PRJEB39191
P12051_1029,16S rRNA Pseudocalanus 2018-07-31 NA By31,Pseudocalanus,2018-07-31T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-179,NA,ENA:ERR4314600,ENA:PRJEB39191
P12051_1030,16S rRNA Pseudocalanus 2018-07-31 NA By31,Pseudocalanus,2018-07-31T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-179,NA,ENA:ERR4314601,ENA:PRJEB39191
P12051_1031,16S rRNA Pseudocalanus 2018-07-31 NA By31,Pseudocalanus,2018-07-31T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-179,NA,ENA:ERR4314602,ENA:PRJEB39191
P12051_1032,16S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314603,ENA:PRJEB39191
P12051_1033,16S rRNA Temora 2017-11-15 NA By31,Temora,2017-11-15T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-77,NA,ENA:ERR4314604,ENA:PRJEB39191
P12051_1034,16S rRNA Temora 2017-11-15 NA By31,Temora,2017-11-15T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-77,NA,ENA:ERR4314605,ENA:PRJEB39191
P12051_1035,16S rRNA Temora 2017-11-15 NA By31,Temora,2017-11-15T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-77,NA,ENA:ERR4314606,ENA:PRJEB39191
P12051_1036,16S rRNA Temora 2017-11-15 NA By31,Temora,2017-11-15T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-77,NA,ENA:ERR4314607,ENA:PRJEB39191
P12051_1037,16S rRNA Temora 2017-11-15 NA By31,Temora,2017-11-15T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-77,NA,ENA:ERR4314608,ENA:PRJEB39191
