library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collection_device,samp_mat_process,source_material_ID,sample_name,sample_accession,study_accession
P31353_2114,18S rRNA Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,44G7,NA,1 individual,185 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2114,507.SPRAS23_SILL_1_18S,ENA:ERS23543533,ENA:PRJEB85974
P31353_2115,18S rRNA Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,44G7,NA,1 individual,165 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2115,507.SPRAS23_SILL_3_18S,ENA:ERS23543534,ENA:PRJEB85974
P31353_2116,18S rRNA Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,44G7,NA,1 individual,205 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2116,507.SPRAS23_SILL_4_18S,ENA:ERS23543535,ENA:PRJEB85974
P31353_2117,18S rRNA Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,110 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2117,507.SPRAS23_SK.SILL_3_18S,ENA:ERS23543536,ENA:PRJEB85974
P31353_2118,18S rRNA Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,105 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2118,507.SPRAS23_SK.SILL_4_18S,ENA:ERS23543537,ENA:PRJEB85974
P31353_2119,18S rRNA Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,105 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2119,507.SPRAS23_SK.SILL_5_18S,ENA:ERS23543538,ENA:PRJEB85974
P31353_2120,18S rRNA Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,45 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2120,507.SPRAS23_SPIGG_1_18S,ENA:ERS23543539,ENA:PRJEB85974
P31353_2121,18S rRNA Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,65 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2121,507.SPRAS23_SPIGG_6_18S,ENA:ERS23543540,ENA:PRJEB85974
P31353_2122,18S rRNA Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,50 mm,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2122,507.SPRAS23_SPIGG_10_18S,ENA:ERS23543541,ENA:PRJEB85974
P31353_2123,18S rRNA WP2 2023-05-17 SPRAS23,WP2,2023-05-17,44G7,0-60,15310.5518 L,90 micrometers,57.59151667 17.26538333,"Metabarcoding of 18S rRNA gene using 528F-706R primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2123,507.SPRAS23_WP2_1_18S,ENA:ERS23543542,ENA:PRJEB85974
