library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collection_device,samp_mat_process,source_material_ID,sample_name,sample_accession,study_accession
P31353_2001,COI Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,44G7,NA,1 individual,185 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2001,507.SPRAS23_SILL_1_COI,ENA:ERS23543420,ENA:PRJEB85974
P31353_2002,COI Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,44G7,NA,1 individual,205 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2002,507.SPRAS23_SILL_4_COI,ENA:ERS23543421,ENA:PRJEB85974
P31353_2003,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,110 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2003,507.SPRAS23_SK.SILL_3_COI,ENA:ERS23543422,ENA:PRJEB85974
P31353_2004,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,105 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2004,507.SPRAS23_SK.SILL_4_COI,ENA:ERS23543423,ENA:PRJEB85974
P31353_2005,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,44G7,NA,1 individual,105 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2005,507.SPRAS23_SK.SILL_5_COI,ENA:ERS23543424,ENA:PRJEB85974
P31353_2006,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,45 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2006,507.SPRAS23_SPIGG_1_COI,ENA:ERS23543425,ENA:PRJEB85974
P31353_2007,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,65 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2007,507.SPRAS23_SPIGG_6_COI,ENA:ERS23543426,ENA:PRJEB85974
P31353_2008,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,44G7,NA,1 individual,50 mm,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2008,507.SPRAS23_SPIGG_10_COI,ENA:ERS23543427,ENA:PRJEB85974
P31353_2009,COI WP2 2023-05-17 SPRAS23,WP2,2023-05-17,44G7,0-60,15310.5518 L,90 micrometers,57.59151667 17.26538333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 44G7,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2009,507.SPRAS23_WP2_1_COI,ENA:ERS23543428,ENA:PRJEB85974
P31353_2010,COI Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,45G7,NA,1 individual,170 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2010,508.SPRAS23_SILL_12_COI,ENA:ERS23543429,ENA:PRJEB85974
P31353_2011,COI Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,45G7,NA,1 individual,195 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2011,508.SPRAS23_SILL_15_COI,ENA:ERS23543430,ENA:PRJEB85974
