node_name,type,16s_rrna_name,18s_rrna_name,dyntaxa_name,tax_level,efficiencies,intercept,slope,energy_density_ww,trophic_level,horizontal_position,color
Bacillariales,phytoplankton,Bacillariales,NA,Bacillariales,order,1,1,-0.29,2580,1,1,#DED055
Chaetocerotales,phytoplankton,Chaetocerotales,NA,Chaetocerotales,order,1,1,-0.29,2580,1,2,#A19419
Thalassiosirales,phytoplankton,Thalassiosirales,NA,Thalassiosirales,order,1,1,-0.29,2580,1,3,#7D7105
Peridiniales,phytoplankton,Peridiniales,NA,Peridiniales,order,1,1,-0.29,2580,1,4,#BD4A46
Aphanizomenonaceae,phytoplankton,Aphanizomenon_MDT14a; Aphanizomenon_NIES81; Nostocaceaex,NA,Aphanizomenon; Dolichospermum,genus,1,1,-0.29,2580,1,5,#7280DC
Nodularia,phytoplankton,Nodularia_PCC-9350,NA,Nodularia,genus,1,1,-0.29,2580,1,6,#4654AF
Pseudanabaena,phytoplankton,Pseudanabaena_PCC-7429,NA,Pseudanabaena,genus,1,1,-0.29,2580,1,7,#111C65
Cyanobiaceae,phytoplankton,Cyanobium_PCC-6307; Synechococcus_CC9902,NA,Synechococcus,genus,1,1,-0.29,2580,1,8,#020A40
Cryptomonadales,phytoplankton,Cryptomonadales,NA,Cryptomonadales,order,1,1,-0.29,2580,1,9,#bfd188
Pyrenomonadales,phytoplankton,Pyrenomonadales,NA,Pyrenomonadales,order,1,1,-0.29,2580,1,10,#a8c454
Eutreptiales,phytoplankton,Eutreptiales,NA,Eutreptiales,order,1,1,-0.29,2580,1,11,#6C8620
Prymnesiales,phytoplankton,Prymnesiales,NA,Prymnesiales,order,1,1,-0.29,2580,1,12,#4F650F
Pyramimonadales,phytoplankton,Pyramimonadales,NA,Pyramimonadales,order,1,1,-0.29,2580,1,13,#354503
Acartia,zooplankton,NA,NA,Acartia,genus,0.77,17.17,-0.29,500,2,2,#502B26
Centropages,zooplankton,NA,NA,Centropages,genus,0.77,17.17,-0.29,2200,2,3.428571,#78453E
Eurytemora,zooplankton,NA,NA,Eurytemora,genus,0.77,17.17,-0.29,2580,2,4.857143,#9A6158
Pseudocalanus,zooplankton,NA,NA,Pseudocalanus,genus,0.77,17.17,-0.29,3000,2,6.285714,#BD8077
Temora,zooplankton,NA,NA,Temora,genus,0.77,17.17,-0.29,1100,2,7.714286,#E08678
Bosmina,zooplankton,NA,NA,Bosmina,genus,0.77,17.17,-0.29,2580,2,9.142857,#979593
Evadne,zooplankton,NA,NA,Evadne,genus,0.77,17.17,-0.29,2580,2,10.571429,#4E4D4B
Synchaeta,zooplankton,NA,NA,Synchaeta,genus,0.77,17.17,-0.29,2580,2,12,#8E518D
Sprattus,fish,NA,NA,Sprattus sprattus,species,0.906,18.47,-0.29,7178,3,4,#9ecae1
Clupea,fish,NA,NA,Clupea harengus,species,0.906,18.47,-0.29,6000,3,7,#807dba
Gasterosteus,fish,NA,NA,Gasterosteus aculeatus,species,0.906,18.47,-0.29,4880,3,10,#99000d
