library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collect_device,samp_mat_process,source_material_id,sample_name,sample_accession,study_accession
P12051_1137,18S rRNA Temora 2017-06-19 NA By31,Temora,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314708,ENA:PRJEB39191
P12051_1138,18S rRNA Centropages 2017-06-19 NA By31,Centropages,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314709,ENA:PRJEB39191
P12051_1141,18S rRNA Centropages 2017-06-19 NA By31,Centropages,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314712,ENA:PRJEB39191
P12051_1142,18S rRNA Temora 2018-03-19 NA By31,Temora,2018-03-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314713,ENA:PRJEB39191
P12051_1143,18S rRNA Evadne 2018-07-31 NA By31,Evadne,2018-07-31T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-177,NA,ENA:ERR4314714,ENA:PRJEB39191
P12051_1144,18S rRNA Temora 2018-04-16 NA By31,Temora,2018-04-16T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-91,NA,ENA:ERR4314715,ENA:PRJEB39191
P12051_1145,18S rRNA Acartia 2017-06-19 NA By31,Acartia,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,NA,ENA:ERR4314716,ENA:PRJEB39191
P12051_1146,18S rRNA Temora 2017-06-19 NA By31,Temora,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314717,ENA:PRJEB39191
P12051_1147,18S rRNA Centropages 2017-06-19 NA By31,Centropages,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314718,ENA:PRJEB39191
P12051_1148,18S rRNA Centropages 2017-06-19 NA By31,Centropages,2017-06-19T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-27,NA,ENA:ERR4314719,ENA:PRJEB39191
P12051_1149,18S rRNA Pseudocalanus 2017-06-19 NA By31,Pseudocalanus,2017-06-19T00:00:00Z,By31,60-100,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-28,NA,ENA:ERR4314720,ENA:PRJEB39191
P12051_1150,18S rRNA Acartia 2018-03-19 NA By31,Acartia,2018-03-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-83,NA,ENA:ERR4314721,ENA:PRJEB39191
P12051_1151,18S rRNA S.monopus 2017-06-19 Surface By31,S.monopus,2017-06-19T00:00:00Z,By31,0-30,7 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_d_802,ENA:ERR4314722,ENA:PRJEB39191
P12051_1152,18S rRNA S.monopus 2017-06-19 Surface By31,S.monopus,2017-06-19T00:00:00Z,By31,0-30,7 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_d_805,ENA:ERR4314723,ENA:PRJEB39191
P12051_1153,18S rRNA S.baltica 2017-06-19 Surface By31,S.baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_d_135,ENA:ERR4314724,ENA:PRJEB39191
P12051_1154,18S rRNA S.baltica 2017-06-19 Surface By31,S.baltica,2017-06-19T00:00:00Z,By31,0-30,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of V3-V4 18S rRNA gene using 528F and 706R primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,O_d_136,ENA:ERR4314725,ENA:PRJEB39191
